               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.040185,            0.011451,           0.0066234,             0.81121,             0.76134,             0.84757,             0.38788,            0.036197,            0.005427,            0.012999,           0.0078532,           0.0078532,           0.0078532
                 106,              0.0406,            0.011578,            0.006159,               0.814,             0.79691,              0.8371,             0.37005,            0.036084,           0.0053303,            0.011611,            0.007816,            0.007816,            0.007816
                 107,            0.040415,            0.011225,           0.0063685,             0.88479,             0.79214,             0.84052,             0.37672,            0.036871,           0.0052406,            0.011126,           0.0077785,           0.0077785,           0.0077785
                 108,            0.039814,            0.011398,           0.0062339,             0.83499,              0.7807,             0.82119,             0.37002,             0.03707,           0.0052645,             0.01139,           0.0077409,           0.0077409,           0.0077409
                 109,            0.040217,            0.011248,           0.0061587,              0.8502,             0.80681,             0.83419,             0.41581,            0.035027,            0.005257,           0.0088471,           0.0077031,           0.0077031,           0.0077031
                 110,            0.040803,             0.01149,           0.0061958,             0.85712,             0.78978,             0.82185,              0.4237,            0.033854,           0.0052638,           0.0089572,           0.0076651,           0.0076651,           0.0076651
                 111,            0.040555,            0.011326,           0.0064292,             0.80354,             0.82193,             0.83286,             0.43738,            0.034031,           0.0051415,           0.0097414,           0.0076269,           0.0076269,           0.0076269
                 112,            0.040389,            0.011268,           0.0063557,             0.85825,             0.80325,             0.83218,             0.42035,            0.035902,           0.0051088,           0.0090204,           0.0075886,           0.0075886,           0.0075886
                 113,            0.040739,            0.011416,           0.0065615,              0.8407,             0.77746,             0.81746,             0.40725,            0.036236,            0.005263,            0.010966,           0.0075501,           0.0075501,           0.0075501
                 114,            0.040063,            0.011495,           0.0065479,             0.76821,              0.8316,             0.82631,             0.41085,            0.034385,           0.0053293,            0.011559,           0.0075114,           0.0075114,           0.0075114
                 115,            0.039712,            0.011158,           0.0062873,             0.85144,             0.77746,             0.82652,             0.40932,             0.03484,           0.0054541,            0.011366,           0.0074725,           0.0074725,           0.0074725
                 116,            0.040278,            0.011245,           0.0060687,             0.78726,             0.82679,             0.82442,             0.40314,            0.035345,           0.0053772,            0.011536,           0.0074335,           0.0074335,           0.0074335
                 117,            0.039661,            0.011337,           0.0062437,             0.76729,             0.77465,             0.78751,             0.38015,            0.036265,           0.0056959,            0.012466,           0.0073943,           0.0073943,           0.0073943
                 118,            0.039599,            0.011151,           0.0061963,             0.75565,             0.74538,             0.75906,             0.37303,            0.036835,           0.0057023,            0.013075,            0.007355,            0.007355,            0.007355
                 119,            0.040081,            0.011298,             0.00597,             0.72014,             0.80675,             0.76965,             0.37566,            0.037445,           0.0057828,            0.012572,           0.0073155,           0.0073155,           0.0073155
