               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.022131,            0.010941,           0.0035893,             0.92354,              0.9331,             0.96206,             0.68656,            0.022459,            0.004595,             0.01698,           0.0080362,           0.0080362,           0.0080362
                 101,            0.021872,            0.010739,           0.0032973,             0.93538,             0.91954,             0.96612,             0.68176,            0.022039,           0.0044475,            0.023391,               0.008,               0.008,               0.008
                 102,            0.021517,            0.010835,           0.0028899,             0.92111,             0.88319,             0.96639,             0.70241,            0.021357,            0.004343,            0.024922,           0.0079636,           0.0079636,           0.0079636
                 103,            0.021791,            0.010928,           0.0033604,             0.92853,              0.9192,             0.96592,             0.70733,            0.021267,           0.0046853,            0.016292,            0.007927,            0.007927,            0.007927
                 104,            0.021483,            0.010406,           0.0030118,             0.94806,             0.90639,             0.96442,             0.72057,            0.020669,            0.004539,            0.017556,           0.0078902,           0.0078902,           0.0078902
                 105,            0.021422,            0.010802,            0.003194,             0.90796,             0.90872,             0.96073,             0.72403,             0.02075,           0.0045189,            0.020766,           0.0078532,           0.0078532,           0.0078532
                 106,            0.021584,            0.010591,           0.0028916,             0.92364,             0.92458,              0.9626,             0.71536,            0.021123,           0.0044271,            0.019112,            0.007816,            0.007816,            0.007816
                 107,            0.021158,            0.010638,           0.0028983,             0.92332,             0.90521,             0.96441,             0.72463,            0.020992,           0.0043947,            0.023152,           0.0077785,           0.0077785,           0.0077785
                 108,            0.021359,            0.010502,           0.0030499,             0.95432,             0.91426,             0.97244,             0.72765,            0.021274,            0.004091,            0.019891,           0.0077409,           0.0077409,           0.0077409
                 109,            0.021692,            0.011027,           0.0035712,             0.90811,             0.88569,             0.95941,             0.71971,            0.020884,           0.0043671,            0.023568,           0.0077031,           0.0077031,           0.0077031
                 110,            0.021358,            0.010629,           0.0032138,               0.878,             0.86623,             0.95396,             0.69398,            0.022042,           0.0047149,            0.025618,           0.0076651,           0.0076651,           0.0076651
                 111,             0.02116,              0.0108,           0.0029847,             0.91058,             0.88377,             0.95971,               0.717,            0.021447,           0.0043233,            0.024644,           0.0076269,           0.0076269,           0.0076269
                 112,            0.021149,              0.0106,           0.0032656,             0.91905,             0.91388,             0.96332,             0.71921,            0.020929,           0.0041126,            0.021149,           0.0075886,           0.0075886,           0.0075886
                 113,            0.021106,            0.010298,           0.0031027,             0.90868,             0.95276,             0.96716,             0.73235,            0.020863,           0.0043365,            0.016157,           0.0075501,           0.0075501,           0.0075501
                 114,            0.020989,             0.01061,           0.0031221,             0.91608,             0.91582,              0.9666,             0.73774,            0.020425,           0.0044081,            0.019983,           0.0075114,           0.0075114,           0.0075114
                 115,            0.021542,            0.010668,            0.003415,             0.88443,             0.92838,             0.96598,             0.73972,            0.020337,           0.0041024,            0.019363,           0.0074725,           0.0074725,           0.0074725
                 116,             0.02086,            0.010354,            0.002805,             0.91995,             0.93987,             0.96997,             0.72661,            0.021078,           0.0044278,            0.010884,           0.0074335,           0.0074335,           0.0074335
                 117,            0.021158,            0.010619,           0.0028413,             0.91252,             0.94138,             0.96995,             0.71804,            0.021004,           0.0046072,            0.016089,           0.0073943,           0.0073943,           0.0073943
                 118,            0.020666,            0.010286,            0.002719,              0.9182,             0.93478,             0.97129,             0.72666,            0.020693,           0.0043501,            0.021367,            0.007355,            0.007355,            0.007355
                 119,            0.020853,            0.010562,           0.0030502,             0.92247,             0.95113,             0.97287,             0.72042,            0.021342,           0.0043045,            0.021684,           0.0073155,           0.0073155,           0.0073155
